hour,updated_type,updated_subtype,lat_long_bin,count
00:00,Accident,Unclassified,"(41.85, -87.65)",7
00:00,Accident,Unclassified,"(41.85, -87.64)",17
00:00,Accident,Unclassified,"(41.85, -87.63)",8
00:00,Accident,Unclassified,"(41.85, -87.62)",6
00:00,Accident,Unclassified,"(41.85, -87.61)",9
00:00,Accident,Unclassified,"(41.86, -87.71)",1
00:00,Accident,Unclassified,"(41.86, -87.69)",2
00:00,Accident,Unclassified,"(41.86, -87.66)",1
00:00,Accident,Unclassified,"(41.86, -87.65)",1
00:00,Accident,Unclassified,"(41.86, -87.64)",21
00:00,Accident,Unclassified,"(41.86, -87.63)",2
00:00,Accident,Unclassified,"(41.86, -87.62)",9
00:00,Accident,Unclassified,"(41.87, -87.78)",3
00:00,Accident,Unclassified,"(41.87, -87.77)",7
00:00,Accident,Unclassified,"(41.87, -87.76)",7
00:00,Accident,Unclassified,"(41.87, -87.75)",4
00:00,Accident,Unclassified,"(41.87, -87.74)",6
00:00,Accident,Unclassified,"(41.87, -87.73)",6
00:00,Accident,Unclassified,"(41.87, -87.72)",4
00:00,Accident,Unclassified,"(41.87, -87.71)",4
00:00,Accident,Unclassified,"(41.87, -87.7)",2
00:00,Accident,Unclassified,"(41.87, -87.69)",1
00:00,Accident,Unclassified,"(41.87, -87.67)",1
00:00,Accident,Unclassified,"(41.87, -87.66)",1
00:00,Accident,Unclassified,"(41.87, -87.65)",5
00:00,Accident,Unclassified,"(41.87, -87.64)",20
00:00,Accident,Unclassified,"(41.87, -87.63)",2
00:00,Accident,Unclassified,"(41.87, -87.62)",10
00:00,Accident,Unclassified,"(41.88, -87.76)",2
00:00,Accident,Unclassified,"(41.88, -87.75)",3
00:00,Accident,Unclassified,"(41.88, -87.73)",1
00:00,Accident,Unclassified,"(41.88, -87.72)",2
00:00,Accident,Unclassified,"(41.88, -87.71)",1
00:00,Accident,Unclassified,"(41.88, -87.7)",4
00:00,Accident,Unclassified,"(41.88, -87.69)",1
00:00,Accident,Unclassified,"(41.88, -87.68)",7
00:00,Accident,Unclassified,"(41.88, -87.67)",3
00:00,Accident,Unclassified,"(41.88, -87.66)",7
00:00,Accident,Unclassified,"(41.88, -87.65)",24
00:00,Accident,Unclassified,"(41.88, -87.64)",2
00:00,Accident,Unclassified,"(41.88, -87.63)",3
00:00,Accident,Unclassified,"(41.88, -87.62)",9
00:00,Accident,Unclassified,"(41.89, -87.77)",1
00:00,Accident,Unclassified,"(41.89, -87.74)",1
00:00,Accident,Unclassified,"(41.89, -87.71)",1
00:00,Accident,Unclassified,"(41.89, -87.7)",2
00:00,Accident,Unclassified,"(41.89, -87.69)",1
00:00,Accident,Unclassified,"(41.89, -87.66)",1
00:00,Accident,Unclassified,"(41.89, -87.65)",27
00:00,Accident,Unclassified,"(41.89, -87.64)",8
00:00,Accident,Unclassified,"(41.89, -87.63)",9
00:00,Accident,Unclassified,"(41.89, -87.62)",9
00:00,Accident,Unclassified,"(41.89, -87.61)",8
00:00,Accident,Unclassified,"(41.9, -87.72)",2
00:00,Accident,Unclassified,"(41.9, -87.71)",2
00:00,Accident,Unclassified,"(41.9, -87.7)",1
00:00,Accident,Unclassified,"(41.9, -87.69)",1
00:00,Accident,Unclassified,"(41.9, -87.68)",1
00:00,Accident,Unclassified,"(41.9, -87.67)",3
00:00,Accident,Unclassified,"(41.9, -87.66)",18
00:00,Accident,Unclassified,"(41.9, -87.65)",3
00:00,Accident,Unclassified,"(41.9, -87.64)",2
00:00,Accident,Unclassified,"(41.9, -87.63)",3
00:00,Accident,Unclassified,"(41.9, -87.62)",32
00:00,Accident,Unclassified,"(41.91, -87.75)",1
00:00,Accident,Unclassified,"(41.91, -87.73)",2
00:00,Accident,Unclassified,"(41.91, -87.7)",1
00:00,Accident,Unclassified,"(41.91, -87.69)",3
00:00,Accident,Unclassified,"(41.91, -87.68)",2
00:00,Accident,Unclassified,"(41.91, -87.67)",8
00:00,Accident,Unclassified,"(41.91, -87.66)",7
00:00,Accident,Unclassified,"(41.91, -87.65)",5
00:00,Accident,Unclassified,"(41.91, -87.64)",1
00:00,Accident,Unclassified,"(41.91, -87.63)",7
00:00,Accident,Unclassified,"(41.92, -87.81)",1
00:00,Accident,Unclassified,"(41.92, -87.77)",1
00:00,Accident,Unclassified,"(41.92, -87.76)",2
00:00,Accident,Unclassified,"(41.92, -87.75)",3
00:00,Accident,Unclassified,"(41.92, -87.74)",1
00:00,Accident,Unclassified,"(41.92, -87.73)",2
00:00,Accident,Unclassified,"(41.92, -87.71)",2
00:00,Accident,Unclassified,"(41.92, -87.7)",3
00:00,Accident,Unclassified,"(41.92, -87.69)",2
00:00,Accident,Unclassified,"(41.92, -87.68)",7
00:00,Accident,Unclassified,"(41.92, -87.67)",16
00:00,Accident,Unclassified,"(41.92, -87.66)",1
00:00,Accident,Unclassified,"(41.92, -87.64)",1
00:00,Accident,Unclassified,"(41.92, -87.63)",8
00:00,Accident,Unclassified,"(41.93, -87.81)",4
00:00,Accident,Unclassified,"(41.93, -87.79)",1
00:00,Accident,Unclassified,"(41.93, -87.77)",1
00:00,Accident,Unclassified,"(41.93, -87.76)",1
00:00,Accident,Unclassified,"(41.93, -87.75)",1
00:00,Accident,Unclassified,"(41.93, -87.73)",1
00:00,Accident,Unclassified,"(41.93, -87.7)",13
00:00,Accident,Unclassified,"(41.93, -87.69)",8
00:00,Accident,Unclassified,"(41.93, -87.68)",4
00:00,Accident,Unclassified,"(41.93, -87.67)",3
00:00,Accident,Unclassified,"(41.93, -87.66)",1
00:00,Accident,Unclassified,"(41.93, -87.65)",5
00:00,Accident,Unclassified,"(41.93, -87.64)",3
00:00,Accident,Unclassified,"(41.93, -87.63)",4
00:00,Accident,Unclassified,"(41.94, -87.84)",1
00:00,Accident,Unclassified,"(41.94, -87.81)",1
00:00,Accident,Unclassified,"(41.94, -87.8)",2
00:00,Accident,Unclassified,"(41.94, -87.79)",1
00:00,Accident,Unclassified,"(41.94, -87.78)",1
00:00,Accident,Unclassified,"(41.94, -87.77)",1
00:00,Accident,Unclassified,"(41.94, -87.76)",1
00:00,Accident,Unclassified,"(41.94, -87.75)",6
00:00,Accident,Unclassified,"(41.94, -87.73)",2
00:00,Accident,Unclassified,"(41.94, -87.72)",4
00:00,Accident,Unclassified,"(41.94, -87.71)",6
00:00,Accident,Unclassified,"(41.94, -87.7)",4
00:00,Accident,Unclassified,"(41.94, -87.69)",1
00:00,Accident,Unclassified,"(41.94, -87.68)",1
00:00,Accident,Unclassified,"(41.94, -87.67)",1
00:00,Accident,Unclassified,"(41.94, -87.65)",3
00:00,Accident,Unclassified,"(41.94, -87.64)",2
00:00,Accident,Unclassified,"(41.95, -87.84)",2
00:00,Accident,Unclassified,"(41.95, -87.83)",1
00:00,Accident,Unclassified,"(41.95, -87.8)",2
00:00,Accident,Unclassified,"(41.95, -87.79)",1
00:00,Accident,Unclassified,"(41.95, -87.78)",1
00:00,Accident,Unclassified,"(41.95, -87.76)",1
00:00,Accident,Unclassified,"(41.95, -87.74)",2
00:00,Accident,Unclassified,"(41.95, -87.73)",9
00:00,Accident,Unclassified,"(41.95, -87.72)",6
00:00,Accident,Unclassified,"(41.95, -87.71)",6
00:00,Accident,Unclassified,"(41.95, -87.69)",4
00:00,Accident,Unclassified,"(41.95, -87.68)",1
00:00,Accident,Unclassified,"(41.95, -87.66)",1
00:00,Accident,Unclassified,"(41.95, -87.65)",3
00:00,Accident,Unclassified,"(41.95, -87.64)",6
00:00,Accident,Unclassified,"(41.96, -87.79)",1
00:00,Accident,Unclassified,"(41.96, -87.77)",1
00:00,Accident,Unclassified,"(41.96, -87.75)",4
00:00,Accident,Unclassified,"(41.96, -87.74)",3
00:00,Accident,Unclassified,"(41.96, -87.73)",2
00:00,Accident,Unclassified,"(41.96, -87.72)",2
00:00,Accident,Unclassified,"(41.96, -87.71)",1
00:00,Accident,Unclassified,"(41.96, -87.7)",2
00:00,Accident,Unclassified,"(41.96, -87.69)",2
00:00,Accident,Unclassified,"(41.96, -87.68)",3
00:00,Accident,Unclassified,"(41.96, -87.67)",2
00:00,Accident,Unclassified,"(41.96, -87.65)",3
00:00,Accident,Unclassified,"(41.97, -87.77)",5
00:00,Accident,Unclassified,"(41.97, -87.76)",9
00:00,Accident,Unclassified,"(41.97, -87.75)",10
00:00,Accident,Unclassified,"(41.97, -87.72)",1
00:00,Accident,Unclassified,"(41.97, -87.71)",2
00:00,Accident,Unclassified,"(41.97, -87.69)",5
00:00,Accident,Unclassified,"(41.97, -87.68)",1
00:00,Accident,Unclassified,"(41.97, -87.67)",1
00:00,Accident,Unclassified,"(41.97, -87.66)",1
00:00,Accident,Unclassified,"(41.97, -87.65)",3
00:00,Accident,Unclassified,"(41.98, -87.9)",2
00:00,Accident,Unclassified,"(41.98, -87.88)",2
00:00,Accident,Unclassified,"(41.98, -87.85)",1
00:00,Accident,Unclassified,"(41.98, -87.83)",2
00:00,Accident,Unclassified,"(41.98, -87.82)",3
00:00,Accident,Unclassified,"(41.98, -87.81)",6
00:00,Accident,Unclassified,"(41.98, -87.8)",7
00:00,Accident,Unclassified,"(41.98, -87.79)",15
